time,actual_x,actual_y,estimated_x,estimated_y,drone_x,drone_y
9.926355600357056,5.097434136547967,5.191877993659192,5.099516430462401,5.18951232096045,2.3418393428721394,2.302638050092578
9.946240901947021,5.091159987205124,5.198517283468612,5.093267634719493,5.196140084788238,2.367161303606213,2.3345482052206235
9.96580696105957,5.0848740544413005,5.205147309141618,5.0870991398388155,5.202660355037054,2.367161303606213,2.3345482052206235
9.986106872558594,5.078576412076258,5.211767525598793,5.080694477338574,5.209406505619036,2.3923655370937094,2.366558460721138
10.006812572479248,5.072262774182607,5.2183749012632905,5.074159862946044,5.216264347005468,2.3923655370937094,2.366558460721138
10.026716232299805,5.065935003266653,5.224971516621919,5.067860232914714,5.222851812471236,2.417448089722387,2.3986680873991784
10.049469709396362,5.059589208879704,5.231553378425149,5.060694236237746,5.230315541938212,2.417448089722387,2.3986680873991784
10.067525148391724,5.053225562478149,5.238120967778176,5.054955902428741,5.236269609992345,2.442405310289003,2.4308764242545724
10.087002754211426,5.046848064795491,5.244678201373071,5.048751553436571,5.242684376299054,2.467233636081035,2.463183052127789
10.109901905059814,5.040458001241064,5.2512248270523205,5.041497933818339,5.25015490708336,2.467233636081035,2.463183052127789
10.12818717956543,5.0340558406868565,5.257762417439458,5.035657285691797,5.256145896565215,2.4919296895171175,2.4955877536454887
10.147408723831177,5.027642376301539,5.2642905570358005,5.029497543639344,5.2624424623528565,2.4919296895171175,2.4955877536454887
10.166889667510986,5.0212136521156205,5.270806587594224,5.023235236514858,5.268820659525563,2.516490445359158,2.5280904133392426
10.187867403030396,5.014771709055825,5.277311865031186,5.01649869422178,5.2756566665454425,2.540912978320115,2.560691175603178
10.209333658218384,5.008318431737667,5.283807585854138,5.009612766044275,5.282617070798938,2.540912978320115,2.560691175603178
10.228768825531006,5.001849823642729,5.290290999656243,5.003349761044698,5.288922001035081,2.565194569052361,2.5933903674852807
10.24977731704712,4.99536788844339,5.296763443370287,4.996585276656691,5.295707174521949,2.565194569052361,2.5933903674852807
10.269077777862549,4.988874522340628,5.303226148014873,4.990341458759018,5.301944892153534,2.589332806813507,2.6261884125877866
10.288610935211182,4.982365636109799,5.309676238551262,4.984002605545679,5.308254328511568,2.613325308812521,2.6590859760679613
10.30777907371521,4.975843208058517,5.316115051210347,4.977755147053728,5.314449320026764,2.613325308812521,2.6590859760679613
10.327715396881104,4.96930914275284,5.322543835540324,4.971246520422159,5.320880236789899,2.637169874839912,2.692083838990963
10.34743595123291,4.962759237143053,5.328959592400956,4.964789408254239,5.327235625254389,2.637169874839912,2.692083838990963
10.367013692855835,4.956195496276772,5.3353637146344495,4.958358602628918,5.333540833941586,2.6608645765647547,2.725182806261488
10.386897802352905,4.949619859348205,5.341757498946315,4.95181357425695,5.339934113237771,2.6608645765647547,2.725182806261488
10.406856775283813,4.943028068583758,5.348137848362502,4.945229844320383,5.346340326004768,2.6844074752279723,2.7583838353815175
10.426809787750244,4.9364222335031505,5.354506236195696,4.9386334516311665,5.352733757913377,2.707796788277011,2.791687900095953
10.448217391967773,4.9298044293338,5.360863957252542,4.931569879847108,5.359555286252091,2.707796788277011,2.791687900095953
10.467870950698853,4.923166200254496,5.367203056116299,4.925057732509604,5.365815200213693,2.7310309606879732,2.8250959080311793
10.487529039382935,4.916513059763055,5.373530383599395,4.9185247435221005,5.372069913620615,2.7310309606879732,2.8250959080311793
10.507518291473389,4.909856685341699,5.379856035086914,4.911869487090607,5.378417951656247,2.754108377087454,2.8586088281587934
10.529583215713501,4.90319112397615,5.386173460930027,4.904549258776488,5.385377403482214,2.7770275376663753,2.8922275573671876
10.549110412597656,4.896516323869827,5.392482809880734,4.898041387885004,5.3915355409082,2.7770275376663753,2.8922275573671876
10.56868839263916,4.889833282270559,5.398785102783096,4.891497414406939,5.397705840522678,2.799787040211465,2.9259528961959496
10.588261604309082,4.883140871825316,5.405078954673524,4.8849359134906605,5.40387088882649,2.799787040211465,2.9259528961959496
10.609082698822021,4.876439126289642,5.411364560712143,4.877961046031042,5.410403908772203,2.8223852273490637,2.959785715471766
10.628403186798096,4.869729119536551,5.417643009419756,4.871460416288107,5.416468571060655,2.844820410049896,2.993726812200554
10.647867441177368,4.8630098353125035,5.4239130055339535,4.8648922808919535,5.422576259918997,2.844820410049896,2.993726812200554
10.66750955581665,4.856281420781893,5.430174852183036,4.858248103872317,5.42873478344388,2.8670908545811042,3.027776894122421
10.68756365776062,4.849534624275991,5.436419217592447,4.851455331444973,5.43501011736987,2.8670908545811042,3.027776894122421
10.707567691802979,4.842771317058507,5.442648948340687,4.844666831130791,5.441259082893414,2.8891944935314218,3.0619367173032286
10.72763442993164,4.83598825885776,5.448859910071942,4.837845364862927,5.447515190773674,2.8891944935314218,3.0619367173032286
10.74731969833374,4.8291910583997,5.455058097865416,4.83113414255025,5.453646476943287,2.91112920729878,3.096206929928458
